,Cumulative Winnings
0,-1095
1,-2515
2,-1315
3,-809
4,-609
5,-409
6,-209
7,-109
8,1764
9,1864
10,2686
11,2886
12,3086
13,1977
14,2177
15,2277
16,2819
17,2919
18,3719
19,3026
20,3449
21,3549
22,3930
23,4030
24,4392
25,4492
26,4692
27,4792
28,4992
29,4524
30,4224
31,3570
32,3620
33,3720
34,3720
35,7994
36,8502
37,8602
38,7906
39,9087
40,9634
41,10234
42,10434
43,10734
44,11198
45,8498
46,9298
47,9598
48,6367
49,6467
50,6863
51,6963
52,6259
53,6945
54,7494
55,11814
56,12014
57,13083
58,8163
59,6191
60,6391
61,4089
62,4289
63,4389
64,4089
65,4603
66,4803
67,5403
68,4494
69,4694
70,5103
71,5383
72,5846
73,5946
74,6146
75,6932
76,7132
77,7232
78,7432
79,9688
80,9888
81,10088
82,10288
83,17488
84,18023
85,17127
86,17327
87,9227
88,9427
89,9527
90,9577
91,11177
92,11227
93,10727
94,9976
95,9273
96,22713
97,21113
98,21313
99,21413
100,21613
101,23413
102,22282
103,22382
104,22582
105,15382
106,15982
107,16378
108,-3622
109,-3022
110,-2822
111,778
112,-19222
113,-19022
114,-18822
115,-18722
116,-18522
117,-17172
118,-18799
119,-18599
120,-18399
121,-18399
122,-18199
123,-18099
124,-18049
125,-17949
126,-17899
127,-20299
128,-22075
129,-21975
130,-20775
131,-20675
132,-20290
133,-20390
134,-18590
135,-17990
136,-17790
137,-17690
138,-17490
139,-17390
140,-17190
141,-17090
142,-16673
143,-16073
144,-17108
145,-16645
146,-16445
147,-15845
148,-15545
149,-20945
150,-21617
151,-21517
152,-22127
153,-21927
154,-23054
155,-22954
156,-23692
157,-25332
158,-23730
159,-23530
160,-22097
161,-22651
162,-20957
163,-20757
164,-20557
165,-24313
166,-22822
167,-23274
168,-23074
169,-24274
170,-23295
171,-21404
172,-22362
173,-21301
174,-21101
175,-21001
176,-22828
177,-25228
178,-19994
179,-19894
180,-24694
181,-24594
182,-25132
183,-25953
184,-25753
185,-25653
186,-29253
187,-31053
188,-30590
189,-30390
190,-29983
191,-30283
192,-30233
193,-29633
194,-29207
