,Cumulative Winnings
0,50
1,150
2,350
3,450
4,650
5,650
6,850
7,950
8,800
9,900
10,450
11,550
12,750
13,675
14,975
15,900
16,1100
17,500
18,350
19,650
20,-100
21,0
22,50
23,450
24,0
25,-900
26,-850
27,-850
28,-650
29,-350
30,-150
31,150
32,350
33,450
34,750
35,-150
36,-20150
37,-19950
38,-19750
39,-19825
40,-19975
41,-19875
42,-19275
43,-18975
44,-18775
45,-18850
46,-19000
47,-19075
48,-19025
49,-18725
50,-18875
51,-18775
52,-18575
53,-18275
54,-38275
55,-38175
56,-37975
57,-38050
58,-37750
59,-37750
60,-37900
61,-37600
62,-37750
63,-37650
64,-37450
65,-37525
66,-37225
67,-37125
68,-36925
69,-36625
70,-36625
71,-36700
72,-36850
73,-36750
74,-36150
75,-36050
76,-35850
77,-35925
78,-35725
79,-35800
80,-35600
81,-37100
82,-37100
83,-37000
84,-57000
85,-57900
86,-59100
87,-59175
88,-58875
89,-58775
90,-58925
91,-59000
92,-58800
93,-38800
94,-38600
95,-38500
96,-38300
97,-38200
98,-38000
99,-37900
100,-37400
101,-37300
102,-37100
103,-37000
104,-36500
105,-36575
106,-33575
107,-33650
108,-33350
109,-33050
110,-33350
111,-53350
112,-53150
113,-53225
114,-53375
115,-53375
116,-53175
117,-53075
118,-52875
119,-52775
120,-53225
121,-53300
122,-52900
123,-52800
124,-54300
125,-54375
126,-34375
127,-34450
128,-35350
129,-35050
130,-35500
131,-34300
132,-34450
133,-34525
134,-14525
135,-14525
136,-13325
137,-13225
138,-13375
139,-13275
140,-13075
141,-12975
142,-12775
143,-12850
144,-13000
145,-13075
146,-12875
147,-12775
148,-12925
149,-12825
150,-12525
151,-12425
152,-12125
153,-12025
154,-11825
155,-11725
156,-11875
157,-11775
158,-11925
159,-12825
160,-12975
161,-12975
162,-12925
163,-13000
164,-12700
165,-11800
166,-11300
167,-11200
168,-11150
169,-11225
170,-31225
171,-31125
172,-30925
173,-31825
174,-31775
175,-31850
176,-32000
177,-31900
178,-31700
179,-31775
180,-31575
181,-51575
182,-50975
183,-50875
184,-51025
185,-50425
186,-50225
187,-50125
188,-49925
189,-49925
